year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2012,11,2012-11-01,18.158333333333335,8.8,33.4,13.9,22.373333333333335,7951.803291666667,11913.49,9160.071666666667,5725298.37,498295.8240000001,7344664,47240.166666666664
2012,12,2012-12-01,19.57121721587088,7.6,35.0,15.029032258064515,24.467741935483872,7843.319946200403,11446.72,9129.782258064517,5831508.38,518790.65700000006,7353189,47240.166666666664
2013,1,2013-01-01,20.7012760241773,5.9,44.4,16.654838709677417,25.64516129032258,8118.076689053056,13787.85,9548.791612903226,6043908.095,528341.4730000001,7363111,47240.166666666664
2013,2,2013-02-01,19.736092468307234,5.1,30.1,15.321428571428571,24.335714285714285,8050.0081058911255,11186.0,9336.777857142857,5397530.435,539671.2270000001,7373034,47240.166666666664
2013,3,2013-03-01,19.324798387096774,5.1,34.1,14.23225806451613,24.664516129032258,7839.7367473118275,10769.45,9034.350322580645,5832764.14,550556.7100000001,7382957,47240.166666666664
2013,4,2013-04-01,16.625920778318278,2.8,28.7,11.176666666666668,22.896666666666665,7710.538888116748,10456.64,9057.75,5547732.73,560398.4040000001,7389982,47240.166666666664
2013,5,2013-05-01,14.834408602150537,4.1,30.5,9.061290322580644,21.164516129032258,8160.771599462366,10956.21,9735.997096774192,6071614.07,572108.4150000002,7397007,47240.166666666664
2013,6,2013-06-01,14.289652777777777,3.1,31.1,9.816666666666666,18.936666666666667,8437.779833333334,11553.75,10100.592,6075201.48,581766.5600000002,7404032,48283.166666666664
2013,7,2013-07-01,14.537701612903225,1.7,31.8,8.858064516129033,20.94516129032258,8266.809489247311,11264.18,9940.20935483871,6150506.26,593321.7340000002,7412989,48283.166666666664
2013,8,2013-08-01,15.650975117686617,1.8,40.3,9.077419354838709,22.01290322580645,8179.338648285138,12972.78,9762.018064516129,6081338.285,604646.1700000002,7421946,48283.166666666664
2013,9,2013-09-01,17.44576388888889,5.6,32.4,11.353333333333333,24.263333333333332,7726.126145833334,11506.23,9005.099333333334,5562810.825,615767.8360000001,7430904,48283.166666666664
2013,10,2013-10-01,18.73891129032258,6.1,35.7,12.525806451612903,25.14516129032258,7703.886948924731,11075.95,8840.88935483871,5731691.89,628583.7930000002,7438915,48283.166666666664
2013,11,2013-11-01,18.270694444444445,4.6,30.9,13.893333333333334,23.053333333333335,7768.765763888889,11841.88,8931.715666666665,5593511.35,640373.6480000002,7446926,48283.166666666664
2013,12,2013-12-01,20.164852150537634,4.9,38.2,15.493548387096775,25.206451612903226,7813.199206989248,11916.82,9123.106774193548,5813020.21,652202.2700000001,7454938,48283.166666666664
2014,1,2014-01-01,20.969039623908664,4.8,34.8,15.764516129032257,26.04516129032258,8175.580167897918,11845.77,9756.141290322581,6086719.435,661162.5210000002,7465903,48283.166666666664
2014,2,2014-02-01,19.87455357142857,4.4,35.7,15.835714285714285,24.696428571428573,7985.060029761905,10902.47,9313.265714285715,5365960.34,671595.9280000002,7476868,48283.166666666664
2014,3,2014-03-01,19.400806451612905,2.1,31.9,14.883870967741935,24.374193548387098,7953.419583333333,11095.83,9223.030967741935,5917344.17,683254.2860000002,7487834,48283.166666666664
2014,4,2014-04-01,17.05298611111111,2.3,29.4,12.06,22.413333333333334,7587.490354166666,10885.23,8950.334333333334,5462993.055,694526.4990000002,7494673,48283.166666666664
2014,5,2014-05-01,16.462542030934767,2.4,32.7,10.935483870967742,23.335483870967742,7861.143268325487,10683.85,9301.27677419355,5844760.02,709852.6950000002,7501513,48283.166666666664
2014,6,2014-06-01,14.406666666666666,1.8,30.8,9.326666666666666,20.02,8122.899875,11265.85,9782.913999999999,5848487.91,723439.7890000002,7508353,49417.416666666664
2014,7,2014-07-01,13.9364492266308,2.8,28.4,8.538709677419355,19.56451612903226,8358.102373907195,11282.96,10025.86741935484,6214249.115,738628.5480000002,7517661,49417.416666666664
2014,8,2014-08-01,14.213104838709677,4.0,29.9,9.912903225806453,18.848387096774193,8203.712755376344,11196.49,9785.222903225806,6103562.29,753521.6580000002,7526969,49417.416666666664
2014,9,2014-09-01,16.49263377345379,0.2,33.0,10.6,22.316666666666666,7601.863363446839,10715.74,8929.919666666667,5469540.69,770978.3260000001,7536277,49417.416666666664
2014,10,2014-10-01,18.10443548387097,3.6,31.9,12.667741935483871,23.65806451612903,7740.244354838709,11066.85,8935.343870967741,5758741.8,789569.7850000001,7544908,49417.416666666664
2014,11,2014-11-01,19.894791666666666,4.4,38.1,14.93,25.383333333333333,7916.1672777777785,11724.94,9291.767,5699640.44,807908.4080000002,7553539,49417.416666666664
