,Year,Month,temp_mean,temp_min,temp_max,demand_mean,demand_sum,Cumulative,Population,GSP
0,2010,1,20.86800818553888,1.6,41.1,8941.450388813097,13108166.27,28278.391999999996,7110454,44504.25
1,2010,2,20.21890660592255,3.2,35.4,8855.467676537584,11662650.93,32153.985999999997,7119405,44504.25
2,2010,3,19.828286304198212,6.3,34.7,8698.72512732278,12639247.61,38195.587999999996,7128356,44504.25
3,2010,4,17.59385593220339,6.5,29.9,8452.86341101695,11969254.59,45142.723,7133668,44504.25
4,2010,5,15.32348484848485,3.1,28.4,8897.770509641872,12919562.78,54370.331999999995,7138980,44504.25
5,2010,6,13.343316654753394,-0.5,28.4,9292.65040743388,13000417.92,67655.211,7144292,45213.166666666664
6,2010,7,13.825424881033312,2.8,26.9,9275.026634942216,13643564.18,82468.773,7150436,45213.166666666664
7,2010,8,14.778943805010156,2.8,30.1,9049.913818551118,13366722.71,99109.06700000001,7156581,45213.166666666664
8,2010,9,16.163807531380755,3.4,36.3,8696.126729428173,12470245.73,117755.48700000001,7162726,45213.166666666664
9,2010,10,17.435457627118645,4.6,29.8,8515.194583050847,12559912.01,138731.57,7168447,45213.166666666664
10,2010,11,19.22271777003484,3.6,31.4,8551.468634146342,12271357.49,162730.203,7174169,45213.166666666664
11,2010,12,19.776297814207652,5.0,36.8,8458.066386612021,12382609.19,179042.63,7179891,45213.166666666664
12,2011,1,21.972666218938883,5.1,40.6,9060.674083277368,13491343.71,206517.39800000002,7188173,45213.166666666664
13,2011,2,20.17313988095238,4.9,34.2,8771.796488095239,11789294.48,232656.97400000002,7196455,45213.166666666664
14,2011,3,19.311432414256892,5.8,36.7,8555.988103564223,12722754.31,261312.77300000002,7204737,45213.166666666664
15,2011,4,16.912508686587906,6.1,33.1,8353.12298818624,12020143.98,285075.168,7209334,45213.166666666664
16,2011,5,14.591862811028916,3.1,40.7,8992.449630127774,13371772.6,313304.09500000003,7213931,45213.166666666664
